edge_size,total_sites,unblocked_sites
50,2500,1428
50,2500,1502
50,2500,1438
50,2500,1590
50,2500,1500
50,2500,1410
50,2500,1546
50,2500,1398
50,2500,1395
50,2500,1488
50,2500,1608
50,2500,1573
50,2500,1570
50,2500,1552
50,2500,1505
50,2500,1568
50,2500,1482
50,2500,1465
50,2500,1480
50,2500,1497
50,2500,1407
50,2500,1415
50,2500,1413
50,2500,1558
50,2500,1475
50,2500,1528
50,2500,1532
50,2500,1492
50,2500,1509
50,2500,1579
50,2500,1408
50,2500,1450
50,2500,1501
50,2500,1585
50,2500,1461
50,2500,1562
50,2500,1327
50,2500,1533
50,2500,1438
50,2500,1466
50,2500,1479
50,2500,1409
50,2500,1467
50,2500,1441
50,2500,1526
50,2500,1475
50,2500,1576
50,2500,1573
50,2500,1410
50,2500,1434
50,2500,1423
50,2500,1420
50,2500,1482
50,2500,1390
50,2500,1549
50,2500,1625
50,2500,1388
50,2500,1438
50,2500,1378
50,2500,1493
50,2500,1612
50,2500,1424
50,2500,1502
50,2500,1516
50,2500,1542
50,2500,1413
50,2500,1567
50,2500,1453
50,2500,1541
50,2500,1392
50,2500,1508
50,2500,1562
50,2500,1394
50,2500,1467
50,2500,1427
50,2500,1442
50,2500,1609
50,2500,1554
50,2500,1378
50,2500,1527
50,2500,1427
50,2500,1497
50,2500,1442
50,2500,1458
50,2500,1432
50,2500,1470
50,2500,1442
50,2500,1388
50,2500,1463
50,2500,1356
50,2500,1544
50,2500,1463
50,2500,1379
50,2500,1505
50,2500,1262
50,2500,1506
50,2500,1577
50,2500,1510
50,2500,1538
50,2500,1474
50,2500,1523
50,2500,1415
50,2500,1401
50,2500,1522
50,2500,1472
50,2500,1350
50,2500,1474
50,2500,1510
50,2500,1441
50,2500,1403
50,2500,1560
50,2500,1555
50,2500,1488
50,2500,1431
50,2500,1436
50,2500,1463
50,2500,1527
50,2500,1458
50,2500,1471
50,2500,1497
50,2500,1447
50,2500,1538
50,2500,1472
50,2500,1495
50,2500,1476
50,2500,1454
50,2500,1437
50,2500,1568
50,2500,1467
50,2500,1477
50,2500,1540
50,2500,1403
50,2500,1440
50,2500,1416
50,2500,1406
50,2500,1449
50,2500,1426
50,2500,1550
50,2500,1430
50,2500,1451
50,2500,1355
50,2500,1382
50,2500,1454
50,2500,1424
50,2500,1534
50,2500,1527
50,2500,1440
50,2500,1480
50,2500,1568
50,2500,1375
50,2500,1442
50,2500,1568
50,2500,1424
50,2500,1466
50,2500,1487
50,2500,1492
50,2500,1452
50,2500,1419
50,2500,1372
50,2500,1478
50,2500,1508
50,2500,1497
50,2500,1511
50,2500,1400
50,2500,1332
50,2500,1562
50,2500,1420
50,2500,1438
50,2500,1450
50,2500,1526
50,2500,1320
50,2500,1493
50,2500,1405
50,2500,1294
50,2500,1454
50,2500,1450
50,2500,1426
50,2500,1613
50,2500,1516
50,2500,1486
50,2500,1593
50,2500,1543
50,2500,1428
50,2500,1386
50,2500,1494
50,2500,1466
50,2500,1534
50,2500,1488
50,2500,1610
50,2500,1519
50,2500,1525
50,2500,1382
50,2500,1502
50,2500,1478
50,2500,1481
50,2500,1444
50,2500,1500
50,2500,1420
50,2500,1405
50,2500,1402
50,2500,1420
50,2500,1529
50,2500,1490
50,2500,1479
50,2500,1551
50,2500,1415
50,2500,1441
50,2500,1542
50,2500,1503
50,2500,1551
50,2500,1538
50,2500,1516
50,2500,1575
